Year,Temperature (°C),Temperature_in_Kelvin
1851,13.59,286.74
1852,13.61,286.76
1853,13.59,286.74
1854,13.56,286.71
1855,13.61,286.76
1856,13.53,286.68
1857,13.63,286.78
1858,13.63,286.78
1859,13.68,286.83
1860,13.68,286.83
1861,13.55,286.7
1862,13.54,286.69
1863,13.56,286.71
1864,13.51,286.66
1865,13.59,286.74
1866,13.63,286.78
1867,13.56,286.71
1868,13.52,286.67
1869,13.66,286.81
1870,13.54,286.69
1871,13.56,286.71
1872,13.52,286.67
1873,13.63,286.78
1874,13.65,286.8
1875,13.62,286.77
1876,13.6,286.75
1877,13.56,286.71
1878,13.66,286.81
1879,13.68,286.83
1880,13.64,286.79
1881,13.62,286.77
1882,13.65,286.8
1883,13.67,286.82
1884,13.62,286.77
1885,13.65,286.8
1886,13.64,286.79
1887,13.61,286.76
1888,13.63,286.78
1889,13.62,286.77
1890,13.59,286.74
1891,13.67,286.82
1892,13.6,286.75
1893,13.55,286.7
1894,13.58,286.73
1895,13.61,286.76
1896,13.63,286.78
1897,13.65,286.8
1898,13.67,286.82
1899,13.7,286.85
1900,13.75,286.9
